==================================================
RAPORT KOŃCOWY
==================================================
                                                      name            result  min_distance  brake_reaction_time  stopped
0                              False Positive - Empty Road    PASS (Timeout)           inf                  NaN    False
1                    Lead Vehicle Braking (Start Dist 10m)    PASS (Stopped)      6.685126             0.237146     True
2                    Lead Vehicle Braking (Start Dist 10m)    PASS (Stopped)     10.235480             0.309513     True
3                    Lead Vehicle Braking (Start Dist 20m)    PASS (Stopped)      7.639936             0.236789     True
4                    Lead Vehicle Braking (Start Dist 15m)    PASS (Stopped)      7.468941             0.243557     True
5                    Lead Vehicle Braking (Start Dist 25m)  FAIL (Collision)      4.662686             0.552990     True
6                                     Stationary Car @ 10m    PASS (Stopped)      7.479967             0.230052     True
7                                     Stationary Car @ 20m    PASS (Stopped)     10.231833             0.232859     True
8                                     Stationary Car @ 30m  FAIL (Collision)      4.581087             0.234116     True
9                                     Stationary Car @ 40m  FAIL (Collision)      4.610178             0.236977     True
10                                    Stationary Car @ 50m    PASS (Stopped)     13.372705             0.387151     True
11                                    Stationary Car @ 30m    PASS (Stopped)     10.811260             0.231662     True
12                                    Stationary Car @ 40m  FAIL (Collision)      4.533035             0.233005     True
13                                    Stationary Car @ 80m    PASS (Stopped)      9.900849             0.525935     True
14                                   Stationary Car @ 100m    PASS (Stopped)      9.316476             0.999911     True
15                                    Stationary Car @ 60m  FAIL (Collision)      4.507952             0.321073     True
16                                   Stationary Car @ 120m  FAIL (Collision)      4.615745             1.590867     True
17   Suicidal Homing Pedestrian (Trigger 40m, Stop @ 2.5m)    PASS (Stopped)      4.103870             2.013198     True
18   Suicidal Homing Pedestrian (Trigger 15m, Stop @ 2.5m)    PASS (Stopped)      3.808185             0.236212     True
19   Suicidal Homing Pedestrian (Trigger 25m, Stop @ 2.5m)    PASS (Timeout)      1.518969             0.735571    False
20                     Pedestrian Crossing (Trigger 12.0m)    PASS (Stopped)      4.647080             0.957139     True
21                     Pedestrian Crossing (Trigger 20.0m)    PASS (Timeout)      6.334808             0.660625    False
22                     Pedestrian Crossing (Trigger 10.0m)  FAIL (Collision)      2.360570             0.681508    False
23                     Pedestrian Crossing (Trigger 15.0m)    PASS (Timeout)      4.935168             0.680971    False
24                     Pedestrian Crossing (Trigger 17.0m)    PASS (Timeout)      4.820297             0.585809    False
25                   Obstructed Pedestrian (Trigger 10.0m)  FAIL (Collision)      1.474715             0.538089    False
26                   Obstructed Pedestrian (Trigger 12.0m)  FAIL (Collision)      1.505726             0.685160    False
27                   Obstructed Pedestrian (Trigger 15.0m)    PASS (Stopped)      4.158432             0.683700     True
28                   Obstructed Pedestrian (Trigger 18.0m)  FAIL (Collision)      1.521886                  NaN    False
29                  Oncoming Traffic (Offset 3.5m, 40km/h)    PASS (Timeout)      3.494605             0.678594    False
30                  Oncoming Traffic (Offset 3.5m, 60km/h)    PASS (Timeout)      3.513436             0.833000    False
31                  Oncoming Traffic (Offset 1.5m, 30km/h)  FAIL (Collision)      4.686101             0.590101     True
32                  Oncoming Traffic (Offset 1.0m, 60km/h)  FAIL (Collision)      4.746413             0.578269     True
33                  Oncoming Traffic (Offset 0.0m, 50km/h)    PASS (Stopped)      7.812092             1.088783     True
34                   Cut-In (StartDist 15.0m, Offset 3.5m)    PASS (Stopped)     11.876299             0.687528     True
35                    Cut-In (StartDist 8.0m, Offset 3.5m)    PASS (Stopped)      7.757550             0.548792     True
36                    Cut-In (StartDist 5.0m, Offset 3.5m)    PASS (Timeout)      5.875799             0.583939    False
